"orderNo";"customerNo";"dateCreated";"dateRequested";"dateFulfilled"
119;24;"2010-05-16 11:03:39";"2010-05-26 11:03:39";"2010-05-23 11:03:39"
120;22;"2010-05-17 15:56:14";"2010-05-22 15:56:14";"2010-05-20 15:56:14"
121;57;"2010-05-21 22:49:22";"2010-05-29 22:49:22";"2010-05-27 22:49:22"
122;74;"2010-05-22 12:03:57";"2010-06-03 12:03:57";"2010-06-01 12:03:57"
123;101;"2010-05-22 21:27:19";"2010-06-02 21:27:19";"2010-05-31 21:27:19"
124;23;"2010-05-23 01:45:56";"2010-06-01 01:45:56";"2010-05-30 01:45:56"
125;81;"2010-05-25 16:20:24";"2010-06-05 16:20:24";"2010-06-02 16:20:24"
126;75;"2010-05-27 14:31:17";"2010-06-08 14:31:17";"2010-06-06 14:31:17"
127;21;"2010-05-31 19:38:18";"2010-06-08 19:38:18";"2010-06-06 19:38:18"
128;2;"2010-06-04 01:37:17";"2010-06-15 01:37:17";"2010-06-12 01:37:17"
129;54;"2010-06-09 08:45:58";"2010-06-17 08:45:58";"2010-06-14 08:45:58"
130;88;"2010-06-09 14:32:58";"2010-06-17 14:32:58";"2010-06-15 14:32:58"
131;97;"2010-06-10 11:28:33";"2010-06-15 11:28:33";"2010-06-13 11:28:33"
132;86;"2010-06-11 16:35:10";"2010-06-19 16:35:10";"2010-06-16 16:35:10"
133;39;"2010-06-15 08:30:22";"2010-06-20 08:30:22";"2010-06-18 08:30:22"
134;21;"2010-06-15 18:37:15";"2010-06-25 18:37:15";"2010-06-23 18:37:15"
135;89;"2010-06-16 19:04:27";"2010-06-24 19:04:27";"2010-06-22 19:04:27"
136;103;"2010-06-17 05:44:50";"2010-06-22 05:44:50";"2010-06-20 05:44:50"
137;4;"2010-06-17 12:52:48";"2010-06-25 12:52:48";"2010-06-22 12:52:48"
138;68;"2010-06-18 03:02:30";"2010-06-25 03:02:30";"2010-06-22 03:02:30"
139;23;"2010-06-21 08:52:29";"2010-07-03 08:52:29";"2010-06-30 08:52:29"
140;27;"2010-06-21 18:49:28";"2010-07-02 18:49:28";"2010-06-29 18:49:28"
141;15;"2010-06-22 15:11:02";"2010-07-04 15:11:02";"2010-07-01 15:11:02"
142;36;"2010-06-24 16:33:38";"2010-06-30 16:33:38";"2010-06-28 16:33:38"
143;14;"2010-06-26 14:14:43";"2010-07-08 14:14:43";"2010-07-06 14:14:43"
144;3;"2010-06-26 17:35:54";"2010-07-07 17:35:54";"2010-07-05 17:35:54"
145;27;"2010-06-27 20:01:58";"2010-07-04 20:01:58";"2010-07-01 20:01:58"
146;97;"2010-06-30 13:21:06";"2010-07-12 13:21:06";"2010-07-10 13:21:06"
147;14;"2010-06-30 21:30:39";"2010-07-07 21:30:39";"2010-07-05 21:30:39"
148;24;"2010-07-01 02:07:42";"2010-07-09 02:07:42";"2010-07-07 02:07:42"
149;81;"2010-07-06 08:54:13";"2010-07-18 08:54:13";"2010-07-15 08:54:13"
150;17;"2010-07-11 16:53:06";"2010-07-21 16:53:06";"2010-07-18 16:53:06"
151;80;"2010-07-15 09:44:24";"2010-07-26 09:44:24";"2010-07-24 09:44:24"
152;3;"2010-07-15 12:45:37";"2010-07-25 12:45:37";"2010-07-22 12:45:37"
153;1;"2010-07-15 18:12:57";"2010-07-23 18:12:57";"2010-07-21 18:12:57"
154;19;"2010-07-15 19:36:14";"2010-07-24 19:36:14";"2010-07-21 19:36:14"
155;35;"2010-07-16 23:05:14";"2010-07-27 23:05:14";"2010-07-24 23:05:14"
156;59;"2010-07-17 19:57:08";"2010-07-30 19:57:08";"2010-07-27 19:57:08"
157;44;"2010-07-25 21:26:41";"2010-08-03 21:26:41";"2010-08-01 21:26:41"
158;8;"2010-07-26 21:28:07";"2010-08-01 21:28:07";"2010-07-30 21:28:07"
159;75;"2010-07-27 13:16:33";"2010-08-02 13:16:33";"2010-07-30 13:16:33"
160;78;"2010-07-29 01:53:09";"2010-08-10 01:53:09";"2010-08-08 01:53:09"
161;98;"2010-07-29 21:42:16";"2010-08-04 21:42:16";"2010-08-02 21:42:16"
162;70;"2010-08-01 03:30:35";"2010-08-09 03:30:35";"2010-08-07 03:30:35"
163;50;"2010-08-02 10:21:02";"2010-08-13 10:21:02";"2010-08-11 10:21:02"
164;74;"2010-08-07 10:11:59";"2010-08-19 10:11:59";"2010-08-16 10:11:59"
165;24;"2010-08-09 08:19:43";"2010-08-21 08:19:43";"2010-08-18 08:19:43"
166;106;"2010-08-12 04:14:59";"2010-08-18 04:14:59";"2010-08-16 04:14:59"
167;48;"2010-08-14 19:30:06";"2010-08-22 19:30:06";"2010-08-20 19:30:06"
168;24;"2010-08-16 20:28:31";"2010-08-26 20:28:31";"2010-08-24 20:28:31"
169;44;"2010-08-17 14:38:19";"2010-08-26 14:38:19";"2010-08-24 14:38:19"
170;42;"2010-08-18 10:32:01";"2010-08-24 10:32:01";"2010-08-22 10:32:01"
171;102;"2010-08-20 15:44:06";"2010-09-02 15:44:06";"2010-08-30 15:44:06"
172;85;"2010-08-20 16:40:29";"2010-08-25 16:40:29";"2010-08-23 16:40:29"
173;39;"2010-08-25 13:28:25";"2010-09-04 13:28:25";"2010-09-02 13:28:25"
174;96;"2010-08-30 18:12:32";"2010-09-12 18:12:32";"2010-09-09 18:12:32"
175;40;"2010-09-02 09:32:36";"2010-09-10 09:32:36";"2010-09-08 09:32:36"
176;25;"2010-09-02 10:37:04";"2010-09-11 10:37:04";"2010-09-08 10:37:04"
177;12;"2010-09-07 12:06:38";"2010-09-17 12:06:38";"2010-09-15 12:06:38"
178;101;"2010-09-10 11:52:22";"2010-09-22 11:52:22";"2010-09-19 11:52:22"
179;74;"2010-09-15 04:43:27";"2010-09-23 04:43:27";"2010-09-21 04:43:27"
180;102;"2010-09-17 13:00:22";"2010-09-24 13:00:22";"2010-09-21 13:00:22"
181;64;"2010-09-17 18:36:42";"2010-09-29 18:36:42";"2010-09-26 18:36:42"
182;22;"2010-09-18 05:36:41";"2010-09-25 05:36:41";"2010-09-22 05:36:41"
183;29;"2010-09-19 14:50:41";"2010-09-29 14:50:41";"2010-09-27 14:50:41"
184;105;"2010-09-21 07:11:38";"2010-10-04 07:11:38";"2010-10-01 07:11:38"
185;103;"2010-09-24 05:57:32";"2010-10-01 05:57:32";"2010-09-29 05:57:32"
186;36;"2010-09-25 07:35:55";"2010-10-01 07:35:55";"2010-09-28 07:35:55"
187;74;"2010-09-26 06:46:20";"2010-10-04 06:46:20";"2010-10-02 06:46:20"
188;82;"2010-09-26 23:45:51";"2010-10-07 23:45:51";"2010-10-04 23:45:51"
189;67;"2010-09-30 14:46:20";"2010-10-11 14:46:20";"2010-10-09 14:46:20"
190;8;"2010-09-30 22:37:57";"2010-10-09 22:37:57";"2010-10-07 22:37:57"
191;55;"2010-10-01 07:13:02";"2010-10-09 07:13:02";"2010-10-07 07:13:02"
192;50;"2010-10-04 17:46:55";"2010-10-11 17:46:55";"2010-10-08 17:46:55"
193;37;"2010-10-04 20:33:03";"2010-10-13 20:33:03";"2010-10-10 20:33:03"
194;40;"2010-10-05 03:46:02";"2010-10-18 03:46:02";"2010-10-15 03:46:02"
195;68;"2010-10-05 08:01:45";"2010-10-11 08:01:45";"2010-10-09 08:01:45"
196;102;"2010-10-05 15:30:06";"2010-10-15 15:30:06";"2010-10-12 15:30:06"
197;69;"2010-10-08 08:40:14";"2010-10-20 08:40:14";"2010-10-17 08:40:14"
198;26;"2010-10-09 10:20:01";"2010-10-17 10:20:01";"2010-10-15 10:20:01"
199;49;"2010-10-09 23:01:21";"2010-10-18 23:01:21";"2010-10-16 23:01:21"
200;25;"2010-10-09 23:34:12";"2010-10-21 23:34:12";"2010-10-18 23:34:12"
201;42;"2010-10-15 19:06:35";"2010-10-21 19:06:35";"2010-10-18 19:06:35"
202;79;"2010-10-17 11:16:38";"2010-10-23 11:16:38";"2010-10-21 11:16:38"
203;94;"2010-10-17 18:32:11";"2010-10-25 18:32:11";"2010-10-22 18:32:11"
204;69;"2010-10-20 12:00:10";"2010-11-02 12:00:10";"2010-10-30 12:00:10"
205;26;"2010-10-22 04:42:41";"2010-10-31 04:42:41";"2010-10-28 04:42:41"
206;67;"2010-10-23 01:05:11";"2010-10-29 01:05:11";"2010-10-26 01:05:11"
207;52;"2010-10-25 07:32:29";"2010-10-30 07:32:29";"2010-10-28 07:32:29"
208;32;"2010-10-26 04:14:36";"2010-11-06 04:14:36";"2010-11-03 04:14:36"
209;96;"2010-10-29 09:00:10";"2010-11-04 09:00:10";"2010-11-01 09:00:10"
210;77;"2010-10-30 13:18:18";"2010-11-08 13:18:18";"2010-11-06 13:18:18"
211;93;"2010-10-31 06:35:42";"2010-11-10 06:35:42";"2010-11-08 06:35:42"
212;92;"2010-11-01 00:54:44";"2010-11-13 00:54:44";"2010-11-11 00:54:44"
213;52;"2010-11-03 17:06:36";"2010-11-16 17:06:36";"2010-11-13 17:06:36"
214;69;"2010-11-03 17:31:24";"2010-11-14 17:31:24";"2010-11-11 17:31:24"
215;86;"2010-11-04 03:38:59";"2010-11-14 03:38:59";"2010-11-12 03:38:59"
216;98;"2010-11-04 23:12:30";"2010-11-13 23:12:30";"2010-11-11 23:12:30"
217;8;"2010-11-06 13:06:54";"2010-11-12 13:06:54";"2010-11-10 13:06:54"
218;84;"2010-11-06 15:40:48";"2010-11-18 15:40:48";"2010-11-15 15:40:48"
219;1;"2010-11-06 16:12:57";"2010-11-19 16:12:57";"2010-11-16 16:12:57"
220;70;"2010-11-08 03:27:20";"2010-11-21 03:27:20";"2010-11-18 03:27:20"
221;12;"2010-11-08 05:20:28";"2010-11-21 05:20:28";"2010-11-18 05:20:28"
222;97;"2010-11-10 02:27:32";"2010-11-22 02:27:32";"2010-11-20 02:27:32"
223;81;"2010-11-11 10:00:29";"2010-11-17 10:00:29";"2010-11-15 10:00:29"
224;40;"2010-11-13 10:19:17";"2010-11-19 10:19:17";"2010-11-16 10:19:17"
225;38;"2010-11-17 14:14:21";"2010-11-30 14:14:21";"2010-11-27 14:14:21"
226;47;"2010-11-18 00:44:13";"2010-11-29 00:44:13";"2010-11-27 00:44:13"
227;93;"2010-11-19 01:00:05";"2010-11-29 01:00:05";"2010-11-26 01:00:05"
228;81;"2010-11-20 02:39:24";"2010-11-26 02:39:24";"2010-11-24 02:39:24"
229;88;"2010-11-21 13:53:27";"2010-12-01 13:53:27";"2010-11-28 13:53:27"
230;2;"2010-11-21 21:18:35";"2010-12-03 21:18:35";"2010-12-01 21:18:35"
231;83;"2010-11-21 21:20:57";"2010-11-29 21:20:57";"2010-11-27 21:20:57"
232;89;"2010-11-22 11:13:12";"2010-12-01 11:13:12";"2010-11-28 11:13:12"
233;73;"2010-11-23 06:40:05";"2010-11-30 06:40:05";"2010-11-28 06:40:05"
234;9;"2010-11-24 17:43:26";"2010-12-03 17:43:26";"2010-12-01 17:43:26"
235;8;"2010-11-25 22:17:03";"2010-12-08 22:17:03";"2010-12-05 22:17:03"
236;24;"2010-11-26 11:54:20";"2010-12-08 11:54:20";"2010-12-05 11:54:20"
237;63;"2010-11-26 13:19:44";"2010-12-03 13:19:44";"2010-12-01 13:19:44"
238;64;"2010-11-27 00:35:13";"2010-12-08 00:35:13";"2010-12-06 00:35:13"
239;63;"2010-11-27 04:13:21";"2010-12-07 04:13:21";"2010-12-04 04:13:21"
240;24;"2010-11-30 08:44:56";"2010-12-10 08:44:56";"2010-12-08 08:44:56"
241;30;"2010-11-30 18:27:38";"2010-12-12 18:27:38";"2010-12-09 18:27:38"
242;29;"2010-12-02 12:27:01";"2010-12-11 12:27:01";"2010-12-09 12:27:01"
243;24;"2010-12-04 09:32:33";"2010-12-17 09:32:33";"2010-12-14 09:32:33"
244;59;"2010-12-06 04:01:06";"2010-12-18 04:01:06";"2010-12-16 04:01:06"
245;103;"2010-12-07 21:40:40";"2010-12-15 21:40:40";"2010-12-13 21:40:40"
246;102;"2010-12-10 17:06:39";"2010-12-17 17:06:39";"2010-12-14 17:06:39"
247;21;"2010-12-13 23:44:36";"2010-12-22 23:44:36";"2010-12-20 23:44:36"
248;13;"2010-12-15 13:15:47";"2010-12-23 13:15:47";"2010-12-21 13:15:47"
249;6;"2010-12-15 17:04:59";"2010-12-23 17:04:59";"2010-12-20 17:04:59"
250;14;"2010-12-17 06:53:27";"2010-12-29 06:53:27";"2010-12-27 06:53:27"
251;67;"2010-12-18 18:58:45";"2010-12-28 18:58:45";"2010-12-25 18:58:45"
252;24;"2010-12-19 13:32:24";"2010-12-26 13:32:24";"2010-12-24 13:32:24"
253;63;"2010-12-23 07:23:14";"2011-01-02 07:23:14";"2010-12-30 07:23:14"
254;48;"2010-12-25 05:00:06";"2011-01-06 05:00:06";"2011-01-03 05:00:06"
255;37;"2010-12-25 19:26:31";"2011-01-04 19:26:31";"2011-01-01 19:26:31"
256;8;"2010-12-26 20:19:09";"2011-01-07 20:19:09";"2011-01-04 20:19:09"
257;33;"2010-12-30 01:29:24";"2011-01-04 01:29:24";"2011-01-02 01:29:24"
258;39;"2011-01-01 03:26:19";"2011-01-11 03:26:19";"2011-01-09 03:26:19"
259;17;"2011-01-01 08:45:07";"2011-01-08 08:45:07";"2011-01-06 08:45:07"
260;62;"2011-01-03 05:04:54";"2011-01-11 05:04:54";"2011-01-08 05:04:54"
261;16;"2011-01-03 10:32:09";"2011-01-11 10:32:09";"2011-01-09 10:32:09"
262;16;"2011-01-06 01:15:25";"2011-01-16 01:15:25";"2011-01-14 01:15:25"
263;96;"2011-01-06 15:55:38";"2011-01-12 15:55:38";"2011-01-09 15:55:38"
264;100;"2011-01-08 03:13:36";"2011-01-17 03:13:36";"2011-01-14 03:13:36"
266;16;"2011-01-09 23:06:04";"2011-01-15 23:06:04";"2011-01-13 23:06:04"
267;100;"2011-01-11 19:33:55";"2011-01-19 19:33:55";"2011-01-16 19:33:55"
268;58;"2011-01-12 04:06:13";"2011-01-17 04:06:13";"2011-01-15 04:06:13"
269;50;"2011-01-12 07:10:20";"2011-01-22 07:10:20";"2011-01-20 07:10:20"
270;104;"2011-01-17 13:25:12";"2011-01-22 13:25:12";"2011-01-20 13:25:12"
271;31;"2011-01-17 16:58:33";"2011-01-26 16:58:33";"2011-01-23 16:58:33"
272;95;"2011-01-19 10:09:54";"2011-01-31 10:09:54";"2011-01-29 10:09:54"
273;32;"2011-01-27 03:19:25";"2011-02-01 03:19:25";"2011-01-30 03:19:25"
274;74;"2011-01-30 11:47:26";"2011-02-08 11:47:26";"2011-02-06 11:47:26"
275;57;"2011-02-01 22:46:35";"2011-02-09 22:46:35";"2011-02-06 22:46:35"
276;75;"2011-02-03 14:23:28";"2011-02-12 14:23:28";"2011-02-10 14:23:28"
277;39;"2011-02-07 13:48:09";"2011-02-12 13:48:09";"2011-02-10 13:48:09"
278;11;"2011-02-09 02:22:26";"2011-02-16 02:22:26";"2011-02-14 02:22:26"
279;60;"2011-02-09 15:18:36";"2011-02-19 15:18:36";"2011-02-16 15:18:36"
280;38;"2011-02-10 17:06:50";"2011-02-16 17:06:50";"2011-02-13 17:06:50"
281;52;"2011-02-14 03:05:54";"2011-02-22 03:05:54";"2011-02-20 03:05:54"
282;19;"2011-02-15 04:56:26";"2011-02-25 04:56:26";"2011-02-23 04:56:26"
283;26;"2011-02-15 11:40:05";"2011-02-23 11:40:05";"2011-02-21 11:40:05"
284;58;"2011-02-17 02:07:33";"2011-02-23 02:07:33";"2011-02-20 02:07:33"
285;97;"2011-02-17 23:10:33";"2011-02-24 23:10:33";"2011-02-21 23:10:33"
286;17;"2011-02-18 03:26:43";"2011-02-27 03:26:43";"2011-02-25 03:26:43"
287;16;"2011-02-22 11:13:14";"2011-02-28 11:13:14";"2011-02-26 11:13:14"
288;40;"2011-02-23 22:24:01";"2011-03-03 22:24:01";"2011-02-28 22:24:01"
289;42;"2011-02-24 05:43:53";"2011-03-06 05:43:53";"2011-03-04 05:43:53"
290;107;"2011-02-24 09:17:59";"2011-03-02 09:17:59";"2011-02-28 09:17:59"
291;65;"2011-02-25 04:48:50";"2011-03-02 04:48:50";"2011-02-28 04:48:50"
292;87;"2011-02-25 06:49:10";"2011-03-07 06:49:10";"2011-03-04 06:49:10"
293;77;"2011-02-27 02:59:50";"2011-03-12 02:59:50";"2011-03-09 02:59:50"
294;68;"2011-02-27 07:20:09";"2011-03-06 07:20:09";"2011-03-04 07:20:09"
295;88;"2011-03-02 10:09:54";"2011-03-10 10:09:54";"2011-03-08 10:09:54"
296;103;"2011-03-03 06:06:55";"2011-03-14 06:06:55";"2011-03-11 06:06:55"
297;81;"2011-03-07 09:37:57";"2011-03-17 09:37:57";"2011-03-15 09:37:57"
298;39;"2011-03-07 13:22:41";"2011-03-15 13:22:41";"2011-03-13 13:22:41"
