"orderNo";"recipeNo";"qty";"dateStarted";"dateFinished";"discountMultiple"
9;1200;176;"2013-09-30 00:00:00";"2013-10-02 00:00:00";1.1
9;1248;12;"2017-07-08 00:00:00";"2017-07-11 00:00:00";0.8
10;553;142;"2014-04-16 00:00:00";"2014-04-19 00:00:00";0.73
10;1882;51;"2012-12-23 00:00:00";"2012-12-27 00:00:00";0.88
10;1909;70;"2011-07-02 00:00:00";"2011-07-06 00:00:00";0.34
10;1980;134;"2011-07-11 00:00:00";"2011-07-13 00:00:00";0.54
11;797;196;"2013-09-03 00:00:00";"2013-09-07 00:00:00";0.89
12;1532;33;"2013-05-31 00:00:00";"2013-06-04 00:00:00";0.18
13;88;19;"2013-02-22 00:00:00";"2013-02-24 00:00:00";0.01
13;760;27;"2012-03-03 00:00:00";"2012-03-08 00:00:00";1.08
13;1021;95;"2014-05-11 00:00:00";"2014-05-16 00:00:00";0.41
13;1080;91;"2016-01-25 00:00:00";"2016-01-30 00:00:00";1.32
13;1599;107;"2014-01-29 00:00:00";"2014-01-31 00:00:00";1.29
13;1785;175;"2012-12-17 00:00:00";"2012-12-22 00:00:00";0.63
14;19;51;"2019-06-11 00:00:00";"2019-06-16 00:00:00";0.1
14;670;61;"2016-04-01 00:00:00";"2016-04-03 00:00:00";0.92
14;737;83;"2017-09-10 00:00:00";"2017-09-14 00:00:00";1.08
14;1289;170;"2015-08-19 00:00:00";"2015-08-21 00:00:00";1.22
14;1725;115;"2009-11-01 00:00:00";"2009-11-04 00:00:00";0.05
15;818;89;"2009-06-13 00:00:00";"2009-06-17 00:00:00";1.21
16;57;179;"2019-10-17 00:00:00";"2019-10-19 00:00:00";0.36
16;246;45;"2013-05-17 00:00:00";"2013-05-19 00:00:00";0.2
16;256;192;"2014-02-27 00:00:00";"2014-03-02 00:00:00";0.85
16;616;117;"2011-05-21 00:00:00";"2011-05-23 00:00:00";1.3
16;1066;108;"2017-06-26 00:00:00";"2017-07-01 00:00:00";0.13
16;1147;116;"2010-12-31 00:00:00";"2011-01-04 00:00:00";1.42
16;1310;9;"2012-05-14 00:00:00";"2012-05-19 00:00:00";1.27
16;1516;67;"2015-10-12 00:00:00";"2015-10-15 00:00:00";1.09
18;18;100;"2009-04-05 00:00:00";"2009-04-10 00:00:00";1.06
18;972;78;"2019-05-07 00:00:00";"2019-05-12 00:00:00";1.27
18;1172;150;"2017-08-20 00:00:00";"2017-08-23 00:00:00";1.35
18;1364;70;"2009-06-11 00:00:00";"2009-06-13 00:00:00";0.79
18;1533;190;"2016-12-01 00:00:00";"2016-12-03 00:00:00";1.11
19;91;101;"2013-02-01 00:00:00";"2013-02-03 00:00:00";0.08
19;154;92;"2014-06-17 00:00:00";"2014-06-22 00:00:00";0.91
19;328;166;"2015-10-18 00:00:00";"2015-10-20 00:00:00";0.79
19;1482;12;"2017-02-24 00:00:00";"2017-02-26 00:00:00";0.3
19;1704;130;"2011-12-23 00:00:00";"2011-12-25 00:00:00";1.4
19;1878;153;"2015-10-15 00:00:00";"2015-10-18 00:00:00";0.74
20;443;150;"2017-03-28 00:00:00";"2017-03-31 00:00:00";0.53
20;464;127;"2012-06-11 00:00:00";"2012-06-15 00:00:00";0.27
20;1034;95;"2016-12-31 00:00:00";"2017-01-03 00:00:00";0.42
20;1037;76;"2013-09-08 00:00:00";"2013-09-12 00:00:00";0.03
20;1161;181;"2011-05-02 00:00:00";"2011-05-04 00:00:00";0.64
20;1374;51;"2014-03-23 00:00:00";"2014-03-26 00:00:00";1.34
20;1972;101;"2009-01-11 00:00:00";"2009-01-15 00:00:00";0.29
21;228;59;"2018-07-01 00:00:00";"2018-07-03 00:00:00";1.48
21;990;179;"2010-05-08 00:00:00";"2010-05-12 00:00:00";1.36
21;1127;172;"2014-03-15 00:00:00";"2014-03-20 00:00:00";0.23
21;1480;196;"2011-10-14 00:00:00";"2011-10-17 00:00:00";1.3
21;1727;120;"2015-08-15 00:00:00";"2015-08-17 00:00:00";0.75
21;1894;200;"2017-11-29 00:00:00";"2017-12-03 00:00:00";1.47
22;206;185;"2019-11-09 00:00:00";"2019-11-13 00:00:00";0.28
22;214;34;"2015-12-10 00:00:00";"2015-12-15 00:00:00";0.56
22;268;187;"2014-07-10 00:00:00";"2014-07-12 00:00:00";1.45
22;277;68;"2017-04-26 00:00:00";"2017-05-01 00:00:00";1.39
22;424;97;"2014-07-31 00:00:00";"2014-08-05 00:00:00";1.14
22;1135;17;"2019-05-14 00:00:00";"2019-05-16 00:00:00";0.42
22;1528;54;"2017-08-29 00:00:00";"2017-09-01 00:00:00";1.14
22;1710;70;"2013-04-21 00:00:00";"2013-04-24 00:00:00";1.09
22;1725;164;"2010-06-13 00:00:00";"2010-06-17 00:00:00";0.68
22;1926;37;"2014-04-11 00:00:00";"2014-04-16 00:00:00";0.66
23;364;52;"2014-01-14 00:00:00";"2014-01-16 00:00:00";0.77
23;992;180;"2014-12-30 00:00:00";"2015-01-03 00:00:00";1.11
23;1872;137;"2014-11-28 00:00:00";"2014-11-30 00:00:00";0.74
23;1934;86;"2017-02-01 00:00:00";"2017-02-04 00:00:00";1.43
24;222;56;"2018-07-29 00:00:00";"2018-08-02 00:00:00";0.38
24;354;80;"2016-05-09 00:00:00";"2016-05-12 00:00:00";0.65
24;399;125;"2015-08-12 00:00:00";"2015-08-14 00:00:00";1.47
24;451;151;"2012-01-13 00:00:00";"2012-01-17 00:00:00";1.39
24;515;111;"2014-02-06 00:00:00";"2014-02-11 00:00:00";0.56
24;915;175;"2011-11-23 00:00:00";"2011-11-27 00:00:00";0.92
24;917;18;"2017-04-30 00:00:00";"2017-05-03 00:00:00";1.13
24;1390;87;"2009-07-12 00:00:00";"2009-07-17 00:00:00";0.67
24;1771;48;"2010-09-14 00:00:00";"2010-09-19 00:00:00";0.58
25;885;162;"2009-06-29 00:00:00";"2009-07-02 00:00:00";0.32
25;1508;190;"2014-03-09 00:00:00";"2014-03-13 00:00:00";1.25
25;1773;188;"2009-09-20 00:00:00";"2009-09-25 00:00:00";0.11
26;1627;175;"2011-03-07 00:00:00";"2011-03-11 00:00:00";0.08
26;1976;24;"2013-05-03 00:00:00";"2013-05-05 00:00:00";1.36
27;339;182;"2019-07-23 00:00:00";"2019-07-28 00:00:00";0.23
27;522;36;"2017-08-14 00:00:00";"2017-08-16 00:00:00";0.94
27;585;58;"2012-08-29 00:00:00";"2012-09-03 00:00:00";0.92
27;1565;187;"2015-07-02 00:00:00";"2015-07-06 00:00:00";1.11
28;109;148;"2015-11-06 00:00:00";"2015-11-10 00:00:00";1.44
28;169;186;"2018-03-07 00:00:00";"2018-03-12 00:00:00";1.0
28;809;72;"2013-10-24 00:00:00";"2013-10-26 00:00:00";1.13
28;1790;58;"2014-12-07 00:00:00";"2014-12-12 00:00:00";0.97
29;531;162;"2017-01-28 00:00:00";"2017-02-01 00:00:00";0.26
29;796;3;"2018-12-29 00:00:00";"2019-01-03 00:00:00";1.46
29;800;43;"2012-04-10 00:00:00";"2012-04-14 00:00:00";0.43
29;1383;121;"2010-03-11 00:00:00";"2010-03-16 00:00:00";1.5
29;1633;47;"2015-04-19 00:00:00";"2015-04-24 00:00:00";1.47
29;1788;189;"2013-01-31 00:00:00";"2013-02-02 00:00:00";1.36
29;1978;190;"2016-04-07 00:00:00";"2016-04-12 00:00:00";0.35
30;201;141;"2014-01-15 00:00:00";"2014-01-18 00:00:00";0.59
30;509;192;"2015-04-26 00:00:00";"2015-05-01 00:00:00";0.44
30;1329;55;"2010-03-03 00:00:00";"2010-03-08 00:00:00";1.47
30;1365;185;"2014-05-23 00:00:00";"2014-05-26 00:00:00";0.48
30;1366;90;"2010-12-07 00:00:00";"2010-12-10 00:00:00";0.84
30;1521;31;"2014-10-04 00:00:00";"2014-10-09 00:00:00";1.29
31;211;64;"2010-03-12 00:00:00";"2010-03-16 00:00:00";0.29
31;691;30;"2009-11-11 00:00:00";"2009-11-14 00:00:00";0.05
31;987;102;"2019-05-05 00:00:00";"2019-05-07 00:00:00";1.11
31;1321;75;"2011-06-24 00:00:00";"2011-06-28 00:00:00";0.76
31;1900;192;"2016-01-11 00:00:00";"2016-01-13 00:00:00";0.42
31;1964;165;"2012-06-25 00:00:00";"2012-06-27 00:00:00";1.36
32;37;7;"2011-07-30 00:00:00";"2011-08-03 00:00:00";0.5
32;65;190;"2011-11-26 00:00:00";"2011-12-01 00:00:00";1.36
32;321;40;"2017-11-10 00:00:00";"2017-11-13 00:00:00";0.26
32;699;146;"2019-01-20 00:00:00";"2019-01-24 00:00:00";0.12
33;1859;135;"2010-08-02 00:00:00";"2010-08-05 00:00:00";1.08
34;104;140;"2012-10-18 00:00:00";"2012-10-20 00:00:00";0.0
34;516;127;"2016-05-31 00:00:00";"2016-06-05 00:00:00";0.58
34;1075;106;"2011-09-20 00:00:00";"2011-09-23 00:00:00";0.79
34;1177;81;"2013-05-30 00:00:00";"2013-06-03 00:00:00";1.25
34;1360;110;"2010-04-20 00:00:00";"2010-04-22 00:00:00";0.49
35;877;41;"2019-09-20 00:00:00";"2019-09-22 00:00:00";0.82
35;947;41;"2018-10-08 00:00:00";"2018-10-12 00:00:00";0.87
35;1091;31;"2019-06-09 00:00:00";"2019-06-12 00:00:00";1.17
36;83;45;"2019-05-10 00:00:00";"2019-05-12 00:00:00";0.22
36;153;76;"2019-05-20 00:00:00";"2019-05-24 00:00:00";0.89
36;1142;87;"2014-03-26 00:00:00";"2014-03-28 00:00:00";0.28
36;1315;54;"2017-02-11 00:00:00";"2017-02-15 00:00:00";1.35
36;1335;166;"2011-04-13 00:00:00";"2011-04-16 00:00:00";0.9
36;1823;82;"2019-07-08 00:00:00";"2019-07-12 00:00:00";1.4
36;1915;101;"2019-02-24 00:00:00";"2019-02-27 00:00:00";0.7
37;15;165;"2017-09-28 00:00:00";"2017-10-01 00:00:00";0.31
37;1047;123;"2019-04-07 00:00:00";"2019-04-12 00:00:00";0.83
37;1237;146;"2011-10-13 00:00:00";"2011-10-16 00:00:00";0.59
37;1862;144;"2017-02-08 00:00:00";"2017-02-10 00:00:00";0.52
38;215;184;"2012-06-24 00:00:00";"2012-06-26 00:00:00";0.95
38;347;43;"2018-01-06 00:00:00";"2018-01-08 00:00:00";0.16
38;891;101;"2014-08-19 00:00:00";"2014-08-21 00:00:00";0.35
38;1111;163;"2013-07-20 00:00:00";"2013-07-22 00:00:00";0.42
38;1954;80;"2010-03-26 00:00:00";"2010-03-29 00:00:00";1.49
39;105;186;"2017-08-15 00:00:00";"2017-08-17 00:00:00";0.33
39;137;84;"2013-02-21 00:00:00";"2013-02-24 00:00:00";1.3
39;197;114;"2009-06-04 00:00:00";"2009-06-08 00:00:00";0.45
39;341;149;"2009-04-26 00:00:00";"2009-04-29 00:00:00";1.25
39;935;73;"2012-12-20 00:00:00";"2012-12-24 00:00:00";0.24
39;1114;17;"2012-01-16 00:00:00";"2012-01-20 00:00:00";0.53
40;423;58;"2009-04-23 00:00:00";"2009-04-26 00:00:00";1.16
40;453;20;"2011-10-20 00:00:00";"2011-10-24 00:00:00";0.72
40;525;158;"2015-11-07 00:00:00";"2015-11-09 00:00:00";1.16
40;833;168;"2013-07-29 00:00:00";"2013-07-31 00:00:00";1.39
40;998;148;"2017-09-20 00:00:00";"2017-09-24 00:00:00";0.83
40;1174;97;"2011-09-07 00:00:00";"2011-09-10 00:00:00";1.31
40;1460;6;"2018-03-02 00:00:00";"2018-03-06 00:00:00";0.38
40;1678;155;"2011-12-18 00:00:00";"2011-12-20 00:00:00";0.87
41;18;23;"2013-01-24 00:00:00";"2013-01-27 00:00:00";1.32
41;1305;182;"2015-01-27 00:00:00";"2015-01-29 00:00:00";0.26
41;1659;158;"2018-07-13 00:00:00";"2018-07-15 00:00:00";0.77
41;1824;117;"2014-01-06 00:00:00";"2014-01-08 00:00:00";0.58
42;1030;23;"2018-05-07 00:00:00";"2018-05-10 00:00:00";1.49
42;1307;94;"2009-06-15 00:00:00";"2009-06-20 00:00:00";1.12
42;1473;28;"2017-08-28 00:00:00";"2017-09-02 00:00:00";0.4
43;27;121;"2017-04-20 00:00:00";"2017-04-24 00:00:00";1.46
43;89;198;"2009-11-28 00:00:00";"2009-12-01 00:00:00";0.15
43;469;171;"2016-01-27 00:00:00";"2016-02-01 00:00:00";1.39
43;1367;40;"2009-10-17 00:00:00";"2009-10-21 00:00:00";1.18
43;1493;18;"2012-03-26 00:00:00";"2012-03-28 00:00:00";0.76
43;1680;143;"2018-12-31 00:00:00";"2019-01-04 00:00:00";0.23
43;1699;76;"2017-01-10 00:00:00";"2017-01-14 00:00:00";0.6
44;315;8;"2016-02-29 00:00:00";"2016-03-04 00:00:00";0.96
44;402;33;"2015-03-24 00:00:00";"2015-03-26 00:00:00";0.75
44;744;3;"2016-11-12 00:00:00";"2016-11-15 00:00:00";1.21
44;745;132;"2015-08-31 00:00:00";"2015-09-05 00:00:00";0.17
44;1217;79;"2018-09-20 00:00:00";"2018-09-23 00:00:00";1.3
44;1848;2;"2010-05-03 00:00:00";"2010-05-08 00:00:00";0.95
45;63;70;"2014-07-31 00:00:00";"2014-08-04 00:00:00";1.38
45;449;170;"2014-12-01 00:00:00";"2014-12-03 00:00:00";1.5
45;1096;10;"2012-01-19 00:00:00";"2012-01-22 00:00:00";0.99
45;1654;183;"2011-12-08 00:00:00";"2011-12-13 00:00:00";1.22
45;1677;75;"2013-12-01 00:00:00";"2013-12-04 00:00:00";0.39
45;1729;96;"2009-11-04 00:00:00";"2009-11-07 00:00:00";0.35
46;1263;124;"2017-07-22 00:00:00";"2017-07-25 00:00:00";0.74
46;1575;83;"2017-07-29 00:00:00";"2017-07-31 00:00:00";0.0
46;1578;57;"2010-01-29 00:00:00";"2010-02-01 00:00:00";0.84
46;1957;181;"2014-04-13 00:00:00";"2014-04-16 00:00:00";0.45
47;579;96;"2014-04-12 00:00:00";"2014-04-17 00:00:00";1.04
47;829;126;"2016-08-24 00:00:00";"2016-08-27 00:00:00";0.37
47;1776;157;"2012-07-18 00:00:00";"2012-07-23 00:00:00";0.88
47;1845;2;"2016-02-05 00:00:00";"2016-02-10 00:00:00";0.55
48;289;199;"2009-12-22 00:00:00";"2009-12-27 00:00:00";0.5
48;312;68;"2015-02-15 00:00:00";"2015-02-20 00:00:00";1.32
48;355;43;"2013-11-13 00:00:00";"2013-11-18 00:00:00";0.26
48;450;38;"2015-12-13 00:00:00";"2015-12-17 00:00:00";0.99
48;1192;115;"2017-08-12 00:00:00";"2017-08-15 00:00:00";0.27
48;1720;105;"2009-01-20 00:00:00";"2009-01-25 00:00:00";0.28
48;1722;80;"2017-12-16 00:00:00";"2017-12-19 00:00:00";0.61
49;61;85;"2011-07-29 00:00:00";"2011-08-01 00:00:00";0.56
49;1217;11;"2015-09-05 00:00:00";"2015-09-07 00:00:00";1.07
49;1507;193;"2011-11-01 00:00:00";"2011-11-06 00:00:00";1.08
49;1759;190;"2016-06-29 00:00:00";"2016-07-01 00:00:00";0.49
49;1814;168;"2016-05-15 00:00:00";"2016-05-17 00:00:00";1.04
50;34;186;"2012-02-05 00:00:00";"2012-02-08 00:00:00";0.54
50;240;129;"2019-03-24 00:00:00";"2019-03-28 00:00:00";1.11
50;750;122;"2009-06-30 00:00:00";"2009-07-03 00:00:00";0.59
50;844;3;"2013-03-21 00:00:00";"2013-03-25 00:00:00";0.66
50;1101;94;"2009-02-19 00:00:00";"2009-02-21 00:00:00";0.93
50;1456;53;"2017-08-21 00:00:00";"2017-08-26 00:00:00";0.41
50;1507;7;"2014-06-07 00:00:00";"2014-06-09 00:00:00";1.21
50;1630;164;"2009-12-05 00:00:00";"2009-12-10 00:00:00";0.08
51;52;143;"2019-04-30 00:00:00";"2019-05-03 00:00:00";1.1
51;734;72;"2015-01-07 00:00:00";"2015-01-11 00:00:00";0.73
51;962;82;"2018-02-22 00:00:00";"2018-02-24 00:00:00";0.71
51;1041;42;"2015-11-14 00:00:00";"2015-11-18 00:00:00";1.27
51;1322;178;"2018-07-22 00:00:00";"2018-07-25 00:00:00";0.06
51;1697;30;"2017-01-23 00:00:00";"2017-01-27 00:00:00";0.49
51;1709;130;"2018-01-01 00:00:00";"2018-01-06 00:00:00";1.36
51;1920;18;"2014-08-04 00:00:00";"2014-08-08 00:00:00";1.09
51;1950;200;"2013-08-17 00:00:00";"2013-08-22 00:00:00";1.37
51;1981;97;"2017-08-01 00:00:00";"2017-08-06 00:00:00";1.44
52;242;69;"2018-09-19 00:00:00";"2018-09-24 00:00:00";0.71
52;476;184;"2019-04-11 00:00:00";"2019-04-15 00:00:00";0.33
52;529;167;"2018-06-14 00:00:00";"2018-06-16 00:00:00";1.01
52;1042;184;"2014-01-31 00:00:00";"2014-02-02 00:00:00";0.09
52;1746;94;"2015-04-28 00:00:00";"2015-05-03 00:00:00";1.42
53;933;66;"2009-03-10 00:00:00";"2009-03-14 00:00:00";0.23
53;1088;19;"2011-05-08 00:00:00";"2011-05-13 00:00:00";1.19
54;597;150;"2012-02-06 00:00:00";"2012-02-08 00:00:00";0.07
54;810;86;"2019-05-29 00:00:00";"2019-05-31 00:00:00";0.26
54;1289;129;"2016-07-31 00:00:00";"2016-08-05 00:00:00";1.36
54;1351;87;"2012-11-27 00:00:00";"2012-12-02 00:00:00";1.35
55;1336;105;"2010-01-15 00:00:00";"2010-01-17 00:00:00";0.2
55;1575;137;"2011-11-11 00:00:00";"2011-11-13 00:00:00";0.48
55;1807;190;"2013-02-09 00:00:00";"2013-02-13 00:00:00";1.37
55;1823;26;"2013-04-09 00:00:00";"2013-04-13 00:00:00";1.31
55;1875;196;"2013-05-30 00:00:00";"2013-06-04 00:00:00";0.94
57;192;5;"2013-07-28 00:00:00";"2013-08-01 00:00:00";0.81
57;320;124;"2019-06-01 00:00:00";"2019-06-06 00:00:00";0.72
57;1029;24;"2014-07-10 00:00:00";"2014-07-14 00:00:00";0.39
57;1838;134;"2012-04-07 00:00:00";"2012-04-10 00:00:00";1.37
58;74;121;"2019-03-21 00:00:00";"2019-03-23 00:00:00";0.62
58;639;154;"2014-10-18 00:00:00";"2014-10-22 00:00:00";1.16
59;339;72;"2010-03-09 00:00:00";"2010-03-12 00:00:00";0.49
59;423;38;"2016-09-24 00:00:00";"2016-09-28 00:00:00";0.86
59;763;193;"2015-06-28 00:00:00";"2015-06-30 00:00:00";0.8
59;1838;118;"2013-05-14 00:00:00";"2013-05-19 00:00:00";1.34
60;397;140;"2014-05-12 00:00:00";"2014-05-14 00:00:00";0.68
60;1479;118;"2016-07-05 00:00:00";"2016-07-10 00:00:00";1.3
61;570;172;"2013-01-23 00:00:00";"2013-01-28 00:00:00";0.18
61;675;60;"2015-05-30 00:00:00";"2015-06-01 00:00:00";0.13
61;1644;96;"2011-04-15 00:00:00";"2011-04-19 00:00:00";1.23
62;457;9;"2012-04-11 00:00:00";"2012-04-16 00:00:00";0.69
62;1278;55;"2011-11-07 00:00:00";"2011-11-12 00:00:00";1.2
62;1457;56;"2019-10-23 00:00:00";"2019-10-27 00:00:00";0.88
62;1479;26;"2014-03-16 00:00:00";"2014-03-19 00:00:00";0.9
62;1673;157;"2016-05-04 00:00:00";"2016-05-06 00:00:00";0.0
62;1692;98;"2014-07-15 00:00:00";"2014-07-20 00:00:00";0.44
62;1897;74;"2019-02-09 00:00:00";"2019-02-13 00:00:00";1.05
63;327;66;"2013-05-14 00:00:00";"2013-05-18 00:00:00";0.97
63;698;20;"2015-05-29 00:00:00";"2015-05-31 00:00:00";1.25
63;1628;126;"2013-08-06 00:00:00";"2013-08-10 00:00:00";1.1
63;1644;97;"2009-03-13 00:00:00";"2009-03-18 00:00:00";0.6
63;1708;3;"2016-07-22 00:00:00";"2016-07-25 00:00:00";0.77
63;1861;64;"2017-05-31 00:00:00";"2017-06-02 00:00:00";0.76
64;462;30;"2012-07-09 00:00:00";"2012-07-12 00:00:00";0.48
64;582;99;"2012-10-21 00:00:00";"2012-10-23 00:00:00";0.63
64;1622;184;"2016-05-17 00:00:00";"2016-05-22 00:00:00";1.45
64;1690;64;"2016-06-15 00:00:00";"2016-06-18 00:00:00";0.02
64;1902;162;"2011-09-27 00:00:00";"2011-10-01 00:00:00";0.46
65;145;90;"2017-10-26 00:00:00";"2017-10-30 00:00:00";0.11
65;644;113;"2019-08-31 00:00:00";"2019-09-02 00:00:00";0.46
65;1198;49;"2019-01-12 00:00:00";"2019-01-15 00:00:00";1.04
65;1742;5;"2015-01-07 00:00:00";"2015-01-11 00:00:00";0.92
65;1889;73;"2017-07-17 00:00:00";"2017-07-19 00:00:00";1.31
66;709;111;"2009-07-01 00:00:00";"2009-07-06 00:00:00";0.11
66;1164;62;"2010-09-16 00:00:00";"2010-09-21 00:00:00";1.5
66;1861;118;"2017-11-02 00:00:00";"2017-11-04 00:00:00";1.2
66;1961;9;"2019-08-08 00:00:00";"2019-08-13 00:00:00";0.27
67;149;50;"2009-10-24 00:00:00";"2009-10-26 00:00:00";0.85
67;949;100;"2018-12-30 00:00:00";"2019-01-01 00:00:00";0.54
67;1061;37;"2017-12-01 00:00:00";"2017-12-03 00:00:00";0.53
67;1074;69;"2013-11-30 00:00:00";"2013-12-02 00:00:00";1.34
67;1440;167;"2017-10-09 00:00:00";"2017-10-14 00:00:00";0.14
67;1930;51;"2012-01-28 00:00:00";"2012-02-02 00:00:00";1.1
68;1030;120;"2012-12-10 00:00:00";"2012-12-15 00:00:00";0.29
68;1572;126;"2016-06-10 00:00:00";"2016-06-14 00:00:00";0.54
68;1930;116;"2016-11-05 00:00:00";"2016-11-09 00:00:00";0.14
68;1955;79;"2013-08-05 00:00:00";"2013-08-09 00:00:00";0.29
69;548;101;"2013-02-10 00:00:00";"2013-02-14 00:00:00";0.37
69;1239;78;"2016-11-24 00:00:00";"2016-11-26 00:00:00";0.56
69;1287;63;"2018-04-24 00:00:00";"2018-04-26 00:00:00";0.69
69;1658;77;"2018-05-28 00:00:00";"2018-06-01 00:00:00";1.42
69;1901;139;"2017-08-27 00:00:00";"2017-08-29 00:00:00";1.22
70;583;48;"2010-10-02 00:00:00";"2010-10-06 00:00:00";1.44
70;1099;127;"2019-07-24 00:00:00";"2019-07-29 00:00:00";1.21
70;1133;106;"2018-10-25 00:00:00";"2018-10-27 00:00:00";0.6
70;1353;3;"2009-06-06 00:00:00";"2009-06-11 00:00:00";0.24
70;1995;91;"2017-07-14 00:00:00";"2017-07-19 00:00:00";0.89
71;344;35;"2010-09-08 00:00:00";"2010-09-12 00:00:00";1.14
71;382;17;"2011-07-26 00:00:00";"2011-07-29 00:00:00";0.47
71;607;135;"2018-05-09 00:00:00";"2018-05-14 00:00:00";0.44
71;1164;33;"2015-05-11 00:00:00";"2015-05-14 00:00:00";0.28
71;1454;111;"2019-05-04 00:00:00";"2019-05-09 00:00:00";1.24
71;1944;14;"2012-11-14 00:00:00";"2012-11-16 00:00:00";0.03
72;179;174;"2014-09-18 00:00:00";"2014-09-21 00:00:00";1.43
72;437;15;"2012-02-14 00:00:00";"2012-02-17 00:00:00";1.43
72;670;144;"2015-10-01 00:00:00";"2015-10-05 00:00:00";0.64
72;752;82;"2016-06-08 00:00:00";"2016-06-12 00:00:00";0.92
72;1022;25;"2018-11-16 00:00:00";"2018-11-19 00:00:00";0.0
72;1153;62;"2015-12-30 00:00:00";"2016-01-03 00:00:00";0.15
72;1207;149;"2013-06-18 00:00:00";"2013-06-21 00:00:00";0.32
72;1210;23;"2015-10-30 00:00:00";"2015-11-03 00:00:00";1.5
72;1794;15;"2014-01-15 00:00:00";"2014-01-20 00:00:00";1.0
73;684;190;"2017-03-11 00:00:00";"2017-03-13 00:00:00";0.88
73;905;159;"2011-09-02 00:00:00";"2011-09-04 00:00:00";0.94
73;1716;12;"2015-01-05 00:00:00";"2015-01-10 00:00:00";1.25
74;104;44;"2016-12-01 00:00:00";"2016-12-04 00:00:00";0.07
74;261;101;"2017-10-01 00:00:00";"2017-10-03 00:00:00";1.46
74;643;18;"2009-07-01 00:00:00";"2009-07-04 00:00:00";1.23
74;1027;186;"2009-02-04 00:00:00";"2009-02-09 00:00:00";0.95
74;1692;190;"2012-06-12 00:00:00";"2012-06-14 00:00:00";0.19
75;484;54;"2014-07-09 00:00:00";"2014-07-11 00:00:00";0.07
75;650;106;"2014-06-03 00:00:00";"2014-06-08 00:00:00";0.33
75;1165;111;"2019-10-29 00:00:00";"2019-11-01 00:00:00";0.02
75;1585;13;"2018-02-25 00:00:00";"2018-02-27 00:00:00";0.92
75;1747;159;"2010-02-28 00:00:00";"2010-03-03 00:00:00";0.51
76;421;10;"2013-08-15 00:00:00";"2013-08-18 00:00:00";1.07
76;485;80;"2018-04-21 00:00:00";"2018-04-24 00:00:00";0.05
76;1462;156;"2017-07-01 00:00:00";"2017-07-05 00:00:00";0.29
77;331;159;"2017-03-01 00:00:00";"2017-03-05 00:00:00";0.76
77;598;62;"2014-01-25 00:00:00";"2014-01-28 00:00:00";0.14
77;1288;143;"2014-12-02 00:00:00";"2014-12-06 00:00:00";0.47
77;1434;44;"2016-12-13 00:00:00";"2016-12-17 00:00:00";0.59
78;667;80;"2018-09-20 00:00:00";"2018-09-23 00:00:00";1.44
78;740;8;"2013-01-23 00:00:00";"2013-01-27 00:00:00";0.11
