"recipeNO";"recipeName";"categoryNo";"instructions";"qtyPerRecipe";"estPrepTime";"estCookTime";"qtyOnHand";"stdSellingPrice"
20;"rewepiti";76;"OJk]5gtxjc]IqdUWwZojbbKHMMbROj#l)dDYuDcZlTy#vA8(Fq#yq6VE%COj0Jye&@voAC&M2mSDTwmf0]W0bh#*]ztubVCTQIAben2zN8k)6(CyHvyGn8oo!cZ@$1ApJI^I49Qf]!bqpbdBr1MIIy";43;24;69;727;439.33
21;"bukre";17;"wZA5wu25GmCZWD!2RS)nlBE1ebDzoHGZi2sQ5PxuRyHiQ(63HRZllgt5jIIHmm7C#Wg(zaM*NL1UJzqHz6bvkMK6@Qh5gNi3sJm1odlv*L]aLOK]MGUGTD9D]W9)9BRmAolTTSni[0p&S4w]tkx#Cd";27;25;88;871;402.27
22;"gakod";78;"FFKWunh2W]ceoKV&!xMDecu[g)JQ4p0dyV@YpFW&D]BdwS(2)&wNt4db5L#evPW4Zo6nMJjzSRChEhtqVQ5$C3!Z8KnGFEs!CGbBx%alcDvSOaasEboCBb&eQk2nm7MtNVM[W!Lq*4&8I6AuMg2IAM";1;2;116;470;7.89
23;"ituzudaw";19;"QS#Rt[rRBNIwqp8NtuSLi@A6&l7QafVw#PRvl3O#[hNCYv0LbFz9*CtWvrveG5FFgHH7c1@3[QSIfO@x]H1wh1xx%GdE7bp(P&&FPqb1@tR!ggK5v3PckWPwhH7&2Py&eH86Sj7WAtF2U61S4TWvge";24;60;75;95;178.13
24;"sebpe";20;"fRAHm&newV^#U&cDlgcH6%G864ONjB3UKvN[^bTNcNL[(O1BDWOf(tXJcX(85uK%aeqnifXRQVHaMluM%xcGb66Wdk^o6d!YgQ&VI5NIwWs4C]XUP9D2K9hWhWzy]PZgNHvZ3PL]W96BN$5xl1UB%7";30;23;10;980;396.96
25;"nu";54;"AZZl7w)%sS%QIA#0vx5UKKt@3pk4s^)Qbsyk)Ghp[wO)C)X!JmoNy@pBCzlY#ncq&f3Lk(Qy$bACCi5hTYzMVHDC!foXFR(iIRm$Tl%l**dgm#yx9!Zc^Soj^6Sm^HaMx(h9%Y4wuS0fQ6E1]2&*tw";26;48;14;118;330.5
26;"letcitsav";31;"M8M54(7c4)16]^BHOE[OmEzwZxLhFAA7l@kjA#jM*xdyfhYz83T5UQ(0KEU2U!eyXFmsg6e^Tpf6Ubtt06atUDGmmKW9TcNViBb1nhSCo3rkGqlVfQ4a@4N8!FbPt1rSi2#UIX4iHe*tA!E@POvbRl";35;29;80;65;376.77
27;"be";59;"I#1#rJ5s[wKotBaL1lF[FdTfC7TsEq7Ur7C1%J3dr659t4Jn4r^uwg1*NIjkPJ*SO#raVg[mt%nVH0p7yZOC)nvGAseM$Wgd]HVcf*R9bmOdHx#uTeToIKaqpj3G#[Ek&ZJp*R7Ov*H&R[oyaBwBbO";7;50;25;404;304.91
28;"hidluhil";43;"MS6osjdD[tLyc)c#5@Ya3nDC#Srb[Nq41ov#5yUs3BUDnpCr3xF(xknD@*jm&GzJrxQ9UAxjIbibL%Y4#!%RR[[7]r^]yZcfHFY&x!bJ7(#2Ixv5MmMrD^q&18L@bhol@tXXJp(CiEV788dYCvyvOc";26;17;2;266;419.69
29;"dibe";19;"c(*#z1F[NZHzb902QIQobJyDcX^qraeh8fw!sbcZ#2#yu&ls#^SLZg66%Zv@IEejzp68ul(5LYX)Tt#RbAL8$^8F%V(ASf$Ig@d355zU#bZG)s(D%Tlg*misq*X15U(Mr2SF9[8z#R)PkA47M!J6c]";45;37;24;184;171.65
30;"erip";43;"Maus7[moV)KC!WGOy7#MIVMFQW#l!mKx$E3em(rrLwOd*31]P)KoQ5zx[0KINZgLCN!j!u*6L0pudKMgPoewG5jqFhWNSn73O!dOBfLPoeljh1!S@VY*!3VOGfCVo2OaJ68AlhPHWoH9#w9nwq8BYG";37;10;6;865;349.47
31;"hivdihge";59;"O3()b*Q!vqN8QP]$Da03(MLuT6UGALoJ@ut6Dcs#GOtZKUa5MKW(7#dWOsbO9M91&rMDR)ZJ6dVke^!mw5yDg8wo$kkGC1hfnJ0fBF6*XMFir4&erAQjJ]F1)&T&cVjZu*pw@b$QVYLxGAcRA6])w8";21;10;64;188;252.17
32;"gujnuzag";82;"*GQJ%*bY1NJ3k9u9Nrn(kMt%DWFo)jFi8BRiaOj!3DS8iwZGc2Wr6vKYr!$Gk^)6Vb#FZ5qWNqFxqlL9AY2OnUXtP%%8gI5R[0M*%TMF9T(z*qlX[!#62]m8(Ow[G7^5gqlg50$##eVt1Yn#vy*Z1Y";47;12;75;361;232.94
33;"lipipma";38;"0K@y#PvjK0fEi(o[G0wcjBE*A@K)h47C32Bksthymmg7Ln]B5n5nx[iGIxK!2%ilUIPTAvXB0x39Cjr$*SB$iwkz2Tgc!kF&j4BknOksSSv@6%@)EWUZ]p6^K]o9Z$(IMA&kJx!fd!lebRLzm3IcId";37;18;14;726;160.88
34;"zi";105;"P@zF$]vqh8aNnN9LLklSCZQRkdVLpib4NoeBVjO[MYsE#xWnv9f9i12]m![D!Y@MkUhI!Tt(z8FY)M^fzoJFNyd^0Cbv0L^OHuelWYRQgLEBSZ@vzbGoGz*gMd1QwFpbsA5@j(j8^W!6bt380qWt[d";22;38;92;284;492.26
35;"fa";75;"Kk9kM6KmMT6FA46mn5lRf7Aq7b*$y9Tf7NQILIiNm8QnSIsGXhb0F[X%lvli&1w4Rp8ogjia3bpni&Uw%sW0e%6t[0ZHf$]jr&cH19C%11x3RH4iCn2uC]QFBnP6KglwhFCBsbDhfUJWAALD[DlRpj";18;57;17;173;330.29
36;"uh";96;"WQgIEHp^ENa1xVWF[#eq3ix(q&]39Znk)OcQ8WtsDHrNP#rmcFfhT!g7UHA%IOT[s7VIkXWqFtr5m2BTY0G#[$m)F2o&B[KyMotq]*h$h&JN5VAqutKFSL$y70sRHEgw%UHp[yPi*xM)(vei2zMH@L";2;11;67;727;123.43
37;"ji";42;"Bhd&P*%2tgc9I]&cO@)*s#$@#5M3!di3vc&KiDIv6x7f9KC$bkyg)(TbNzA4R)pW45SyT%((X4T&4^&XdaiqX]mLH5iwELRS6GI7GBIUTUE@PIExTlGyOBEtQdHs6D&Dt4qEli&a@45Z@z[)!w6V]J";34;0;96;541;7.85
38;"fonoceg";86;"!(sQDnoeXR#rP]CAIYruf0K6JEsFwwvA$gb76Zx2]KI([B*4vAbD!qX)$bH4aR6I2aQZm4SH6)GRkc!Tb8RehN]IJ9HV6[dt[$kCF9e@tzxFxCiho!ezht0h34%JYM9chVDDj3YmR0fc!!5MD9r@1y";16;49;78;484;266.55
39;"bew";100;"jtDz*ZM5p%fU0S5GDgD1v5IQ4@mf6@DfUp*3LTN@MXIVerzXvB(wq0@pJWQI5!pZeaUvI7GeDlPJD(nv@9%U@8VmxWTbD(jiSE*$LJzUXY6K3)zLPXPhB501isiZ)2[Fg[5NcJLt5)SGS3[GzcDK7)";50;32;61;564;464.43
40;"ucsac";57;"5vYXiIjy6rj]5HAdiPXBrU&EZ[r9Xxya@BfpZ@(X3MFYf7D3V&84eH&gWASUmTWucMVMxSc#eOviL0$ZngspqbZ2kQTJEfVETBDU1DO4!4wq#PW*w1@iZMC&Vb10$Ym(z@wH80VJrfe]pDijva$WjN";2;30;59;925;372.96
41;"ujpe";14;"[6)]I8d8j8DT&^3&r*JL[AY6^3bjop)r6S%6fak3QoSUK60lhECTf37]GLY&Fy&Q]H3i!l9$9k0Fsg$3I0X1!]I6WlM)XlUHqU@#s&uYre)Otv]!yEiw&1xpeA%^TZsLVum1L@ER3dZAIFlMOJ8HCT";2;10;113;638;362.6
42;"cedke";19;"*kWIJ&*Pr8ohwk7ccMEhHgMF4(L0^&5UnCknhnoE#c3VPB!(Oeu2[0YaKDUcVLoUmn)ApMej48]RIuBnvlhC@($EC$ZV4&R7m6^(5$imY@LMg[8^]QlPw)p[*noKwN5)j4jqYWAWj)UJ]vnFTexSJN";32;44;108;968;331.74
43;"giejub";94;"NmiqqHyrkwvBTD45IU!ki5tKHV93)@IRRIv2aw4dj7IwBU7wKwB)M)OVX#Fa%SZB50q(Y$rCJJpQP@ThWmTc(1R6b]h6PMLqbuzuRoveGpIFYH4*2zdsoIP4H@O#[yr]sJ!3CI2#K#e[XvUsEIZ(*2";16;59;119;738;397.99
44;"nawagep";50;")Xo]8q!bB%]6jpgUrZ)F^D&@tJ]n7wu5VwHEk)Tg[s0YquWjxS9YP$n%gX5bF@%S2*90ElZyX!!A3yPn3NyRocnJygGMCnZIm[baxrjcWnbG$neShymKCULHIP8*Nw5OoSARd0gB&TS4vKxFoM$Oqd";39;9;17;648;176.95
45;"ra";82;"x&]wc@Un%4f(AWROTT$NgkXj$)Ly)^q2Jv$xS]ocb*j07Vlnt7$6YFh^xM&DcOqMyRGFQIVP$0CeN2E^I(cOn3ZFRLE9WSCWBYhmQK(E&f[tV$94&E4e]8!l&cq72Wty)Gh3aYR&gfDaArtN(oiBmW";4;39;112;827;421.44
46;"uvnencu";36;"NDA4sVjXAOpAJEUAeO62uhhyM47nWy[%ZSsMFEh7Tmlp&5yGmM!]oClQP#mvcUiN%M4j]muDrCpBM]%Zvy)(z6@^Et98AfJXTwkJa#qdTdfD1ubC^&8Rgn^@rJj123t*$vjp25Pybb@GVfL*SJdfOo";3;21;104;666;309.54
47;"dafawzoc";99;"@yh[&[e0@dtdbLMdCFSF(MBPzt%&#b(1yOAashZZ1Vlv10Zau9sRj4je1(d8u4V@(KQts3]tWCcYOLyQ7oA]mgd7Ohk(FiCGEY1RJ^Hsr0&Inowi@HayHDJ8PCu@Qcv2sZ^eXPdcb]3phf6ptDRL(e";5;48;91;541;367.72
48;"idib";38;"7*L)69aEJRrUw1zwVJVXZot&*1FnD&Dopb1@ZN#cN#x%9c#3iQHXD0FspSfUMqstF6ucwzG7f&N3^1bg^!zU&#4xD7lGb@3jmc6$blxZ6LV$IVMd8]bX38I7N9GzCI#K8ftU7HjGXLe*N1KcB1U@g%";36;2;69;751;357.25
49;"sacirdih";46;"hjRPM8sGk&T)u^OMCKrv5ONhxXCAVF%3b6ByLIi9[*wU#^M4UWp6m*Tz@lQ#[M&u@mL(Q4zT%A8N)]jO7iarRSXQdo*7T&]g##[vdBxS4PO8qV0cC0@i9DVUp0k6VB)Lml^F^hxCRDQ*$Iw[7L)EhB";10;33;8;691;299.11
50;"deiru";29;"9z5B4@oAyWBgnDt]WQ%vi6)QH1JUv4#(3H0vul&518d0F@P)Pt$&q$FoHP4KUjl@^qU5IddscGwc47Hks5GZ^^h2YOW4l*7r@b82lIRmnoRw8tv%x7^hZog4B58^7RDgg%o(27UerDfnxPo!D1cj[(";36;50;1;749;62.85
51;"loliena";50;"l8P@bMke0YXQdSl6]EO2NdP[!Pg37QCcthB&*^KoDLC(LPZrTV%x(Ky]X9BRxBpLQfYeGf$Z*5eh@dqOm$SioPx]DNI@a!m0&sGXcGK[%RFvpv]q6dibjZXHL^%a&hIe^Phir$!Ctoe2k4!WRUb)00";48;5;21;58;418.62
52;"ove";90;"*PrWcIPc]Z8CH(!*9Ap%JUC]&51if3@z@l8iSEDoMt4jV^KfaioY$[Lu^j^]1SrM0%j(9lZ!Tq%EmaWe&w4mhfx$bB07U(aew1^]STLuIl@JJaVh**Bx7yX9Rz&h2poWjq6kUj&gCVDKk1wRDzRc(r";37;46;63;443;317.25
53;"nabsuj";41;"ZFQp4U(XXqAR48Av^gfU5Oje!Ngih7TwnrbR4RQoH4jB8epc)h(VMxJ&nbKRZ[XBvo7bp7(7Ve%JIIDd2H[id1NP0QpVjrqZFkeEMe$9SM@FACAX5zYN6wF3#Zed*DQxvoC%bq3bdx445Ki60q)[sP";14;6;109;64;64.58
54;"wo";98;"ay(HkVr&BmB3[q*QFuzo*N)5qtC6]kK$q5vjXEyM5$6Y00SOo!@G&2$N6]@)y%0UXM]%Ps!Qr!yh5GKCt%8PxHP3D34xqd7GY#Zpayx!wo9P%On0ds1Q(d2UI5y34@pVAn@g21gZ0&IT1C6Olud)nd";40;56;57;750;169.42
55;"kazub";66;"hUCs5T&PbmGiE#0%wXdxZ#(LV8$aYKwZQ3&DuQXe!Ib#zeeIkaLNUuOYEzI[n4%vH$hJ(5nOOk4d3OC[QHBe^b3@^tlUKKBaD1#^tOgHQoh7b*(0HuN^smsr6lo4ZDr#Cqm7uJaM]hMIJIVh1Bb*jh";24;30;47;942;265.38
56;"ubsaon";13;"PT!^savg9m0pSbtwcPl)fy#tuZfXbl9K$sp4B9LJfoeweq&x9GvU$R1(M9MODCM8UTYK]UrHdu96)B[x6DwBu8!9&Sstpc$2X(ChNvWooMtFDdePi#H7g[s7&j85UV@NNnOsl#wafYBuJst4*QelZz";16;58;115;228;199.45
57;"iwwisapu";41;"ERwyUBz#SWc^b[I1fErqw6XJvSFpO)OB[qcYDyclmu&rkcS]qsTlZspUy4O72jTVMbU)B0&kkr2SO71f]&sP0yI1^&epL^SKpwVpYcI@xSBOipSg6b4B30zLT4[y3sAT7bP9rk9ivMPf)fa05c@J*m";3;52;116;151;62.64
58;"nagkujgin";52;"2NbxWIKyWHX8UOUxSjQaG74^(XEfzP1lgqXk%9dkW7hIdkVtGEwkiob(Dg27D^cN^Xgn$H%aUoe5RlED5p(gUDOo]mOisxFCCCV@*EHvp!ZxaIeF4b@f91ULX%bm[Cj)zSe)KEB%S$tvawY6Bt6j)9";40;4;26;806;406.7
59;"je";21;"PI6nasn$#cRxouCNzN&df&r@qeC%ZSxhpRBr6OJZu@OvR[C$$)(eY7VL@CDp2KcJa0WtW4KRv*oSI@4MVOO#dpFjSf!*VC6$*MVRp8vIsUeFkKjD)qc^0$62Kcq%*JOKKXvqRI^&K*DvP#R0#IWIz%";6;43;54;12;223.54
60;"nocru";34;"g2o5eed0Tpn%OQgefp43W)TTJE5Iqb7TPCSKNoRTyfHllG*bI9nT(O)w%a0AjWf2!X5*ylUc8NF66lK]ltY0rz(vhgvj1We]mkfUNvuB3RUIgsp[C@[qrv8dd3(A!SEYZs]$5U*A8Xw612*mIMf]ag";19;53;75;631;169.22
61;"hahzon";86;"l1OzJpm4ib$0ruIfYowu2Hydk41V]8Y6)k^u6HYF1lDPl#qq4)sJ&m6b5mCWV&u)4K02&9]t$YcG405]tqPVDbrRgO70rSiwbiA&c5z6Tc%X%K17Dt$&PUSca]ThsutHgyciJ%6^E)g[[%ZCA)BQ]L";48;35;113;620;195.19
62;"ute";19;"FRh&V]j7[^Wq*PylVnG[hMG*ZBGnSW3M&Sz2Dbnp8CfosHZmDyJ&iT]GGw$%O6NQFCM5rW@(8(a4OW&F!DPU]ONPW5kTmyaVImj7yjCFcRM)gr(MQl!^CZWqlD]mUBV44gLzCY$F&P)JGiwool8gbf";25;7;85;307;173.44
63;"ha";71;"cqc&k[8lc(#dk*j$p*7Z&PO]mVSFl3#hQ0bON)$AAs9p1f^GUBjD3^3$BN^xBKehP7TAcfP6iHjkiZ^zV^Y6mK*p6Dn4R)gmZHS1E5TBT[lsKex%!Uityhb7XrHZMb*gLaaoqIc1dKZG5TGpr(bmyB";19;22;78;168;334.85
64;"ospebun";19;"5Qp[IV%e&(x*X5o9)dyTjPWK8r83k[Uos8lZRNhnd21re!hvv(tsw4crrSsKpN%axwXM&dZ75nSnfQwy3&CZlma!6Vz2TO8!c@nSzHgqzst5Gy(eevh@$q2YzZB1raMa[agpdPppjP*#GGNSaY7Zl(";11;57;113;587;176.43
65;"jackodol";36;"utB##H7C%FObUuOGKAxbo!ys#aY77u@vrK((Gaoc3q2YJLqL^hULKeVub5M[fhD]pR3N^Y2d3mog3E2ePE%JLBMxIEzx#tvpgLkFxBJDims4!mLCblSDOP#)czsfQe5VVp2HmVTbtpdgehcm94KtTX";37;38;116;660;111.61
66;"ohu";20;"GCGhr^[0d]pcuhDZWnCvn#Iicl!SAAQPKjdy!54WPv9k*iDqXtp1B!gjivJuYAVZ1@Vl%oI)ZpS9]4JI2(VrTJGyW$6aFj77rnTn4huzWH1(]bJl(IkwwrG07UQEqOJRqHzuH3Rok(Yv6j^QvreoQ2";19;0;99;973;455.2
67;"apiciwic";66;"CxBOAUMkrcW&yiq!pdm#)2wopCgYWQs1L5nvp7L#1CqEtNXIcC!pF!JRPh28Kg]q*)0AyEYJjX$Prt^cu$2p%XGpn!Uumir3SAxqF03B09vD@cVe(oF^8ZU)767t$gpFzOndkVBxs5eXOj0$(z077z";35;3;74;339;50.99
68;"ogosi";84;"%Fg2o$S(h(grJQ8)v2nA*t4a3@LCjnakd^dCQNfUsM(7$idYFHZ)5rAa]Ui#je$[)iPVifkyJD2x*DVlkw(tFQqF(86RwTL4r&q^3&0GfSCbSumaM7t9qdqSQ4^8STXrQ%t2CZtwWWDl#hre(1TMmb";46;47;105;539;75.63
69;"vodawtav";63;"9YAj][Py76i[)k5UP(Y]GkuibR(LFW1[6KMyparT76vW2eXpC6$$Q92f16SoznFZM%DcUVvrCswi5fLJP7XwkeWuMlkx^09(55P05cN7Qziop(d)kt35Kc*cOm&Gfb^n[8i%ZR%a$[ZWFu8ib*nU(G";16;17;45;66;125.68
70;"zawu";18;"R04yqHtE@jqQZjq&jG]@gxCN[@SMHY$q!8WG]Wlfony^OMA$Gz!r7qTaEbv*lkU[rgRPvCfjrtaH#DwSXgFW1W^9ykKmrv[DhlIDC&f&[TIMh8&CP)g9cBl6R8SxC#Fq[(hajb@z)HjJF#ukvog!)x";41;41;0;849;291.6
71;"ulodoulo";7;"1du9y32uvzg0JXW@fuv7&SrO^1m4G#V![#(sXe^P#F[mppiC@%)9FYlW1fsrd*!n)VVpCgrAj0z)%U(T4%1nP[iG]lq5B4xpGsX7lL@Y^So$r08nQmmPP@nDegttqHsb19FUxPv2wg%uTHB]$LTxy!";43;52;68;316;121.61
72;"piffo";27;"y9o)$g2OOa[Z73J#idk&e^c^MmcMCtlua%ZsY9zwpLHWqnU$hK3GjUL&JdVQAIFM8aenF)BBVSKGU9[emU4RwMhCP@SYuYNO!T6Yoi^d&rL@93Sx6Y9w%puaUzM%8x07Xze7)ATEl83bpqup5sN]$U";38;59;43;904;130.7
73;"fivavwo";83;"^uE7*aCofUnmS^ribS3Y*%NLoq7fM7k1zS)eWQ2nuk4BX&SvbRAyvCM8GyUW7VMy8vnJ$7dcUWAKZMM!@GG44[$qv0CI@&MzVsZT$@R94SO!C^fB]hbNJZ[*qnFJA74zONa1P]6H9[W@NQ&MmV@Ecn";4;43;8;450;339.72
74;"jes";23;"05FElenG$x7r4lTJwFu#S2PQfXeF[Eq83oYzYJtENO)9Qq8Sap07nsKSglgTadEbz*r!0OC2ijfs[AqTKVhBlnoVOxS8uvg%O6tb%!8oyC@VEE3[$^!gPbs78GYgu9*u&(OL^W%WojbMjWm5k^3hv2";5;41;102;174;82.47
75;"zolismew";40;"a46#^cbq#d36DX%7QsRIdyj$5DIxhu58%E**Yl*2KKa!PK18ppzumiNs3$*$vPnR@Ij#afkqX(AIt0%towF0Vgr6v0t!Xj@HeWaRWQ*ozZ1w!@Z1T4g2jwWrWdqyD8eNe*)P]RnK3u08zft#LUiTNU";47;0;102;250;396.41
76;"ovavanik";17;"5sV9kt8K(nTxO2TJgKJv#t^cZsxE76q#8XAyAccO7L0UkMKT$aucBHiUsKO$ksL7kq1qu6Qv]SeR[35GVxr$eFR](h1PNUDUQ^JEs8%pge0!Fptt2gXydMNinR5CXB8qTfHx#[[jh$LGoZW]SsGkOc";19;2;12;176;112.32
77;"paburzoj";14;"cWw8z#Hdr!hT8ehiiANDh[[IRb@so&lDZ14ybLrq7%SlMeXd1umr(mUZEQ6WM^DgR8]MIO(Nq(Bfrsln!(unqB598tC#CfcaaLy%@nd!AC@W2^AErno(m&q&8RTcu]PaG2LGoW*PIpqxgK@)YlGh*x";22;8;12;233;85.4
78;"ar";90;"gbQfSSaRKYENT4X(V#pW#s]KmXe*HuU5j$p)KFR8sD6s@phCh*6MK$vo8kVa)I2Q@Xq&oHXJq#ZLjQ%$0!XYdpPG1OZW(c(kBjoni9nHM*VqkI)Bg@tn3q]**wKam208CvwX[1p2ZT%QS$rSWWk&)n";35;11;56;993;395.9
79;"sopdezwun";14;"Rj6B!qqX*OK%g1UX!Xe)Z@zT*8B&C3Z6who1kGnvrFz&gbU]uxq(bEX6mj$PpAW#goOuZOy&ehc$AcjUxw6eHStiFImE2%xQPP#rNTLHxdX&exVcdPcjoZvBC9[nCQIrGdhzLkwn9[sMxZ2)8oaL(q";36;23;46;143;267.42
80;"wirogtob";24;"]7f%b1UCR04LuAqR1GAv[)h0RrOxP(T)JXSj@HT##FXJas!W6]B&NzUnUWJzko]XW]H&5OxgdRk$X)z@wRxqPsAUiyrp$[s&cj5TjsMfffcPzV8pvHmaN9$D%jaOFXAqi&kk1tArQ)PnWZHB!RZjjW";40;29;60;573;357.31
81;"fodulwim";61;"iT3591Eic50A%s(msQ*c!SGSnX)O2Xf^8YN1VC**NsFp^63W0x@]%fQt(kVNa5Sybz6[NA[qZRZdB^ZvvuJ!js2cX^zugLTu#H95)PcTl&&h(s1vqBGL!bdS0M08Gih7JnQEnwXp03U*ZCrvP$[m5N";28;48;2;544;93.39
82;"ziwopud";101;"NTlSAv5HmOV$f#RGJYIE%a(]81]a)8q&F[JQ!5bN3rN7h21rH3R8yT1J)KncJh5ih8H$gNf1Iv6)(5A[7OCMwNnQI[vd^IMHb7jzX*Rt#Q&6A(BBj&78ppGT4IW5o]EbXR38vSwrnCZRU3Y)*szhYs";48;6;77;944;132.17
83;"jun";11;"1VEl@pJFZrq)aGCk$GgjbXnGbQW6czSTH@&^ONifj)W^Bt##0exMXBE[P3[YIlaju)6P%tAJba69VRePm(G3dCrvKFP[$qVR4u5%*6mm]WOOstVRFpmI)@Wy*%mK(%SM4j@)R#6zzIfL(F%(o3lhmK";5;13;2;10;193.27
84;"fipfilmas";74;"4mrxtQ3HkkHA)N3r*f@SGTX9JIEEe%XRbALK6$H4Oq$%4JZ)w!6!bNOi6dc3]VFw[in!27)XVZjq#OPo0p!K2yWOsTNPH5DDoUrHO1xPhQbSpVgU^3mCRlj*xY0lUyXIIb(jBvCF^]M78[FLefcZjY";21;38;54;301;8.28
